"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","0.9","3.6","131.9","153","824","0","88"
"2","3.5","14.4","121.4","196","973","22","90"
"3","6.6","26.5","121.4","196","973","22","96"
"4","9.7","38.4","127.8","168","877","19","100"
"5","12.8","50.6","129.0","163","861","19","105"
"6","15.8","62.7","127.7","168","878","19","108"
"7","18.9","74.8","128.0","167","874","20","111"
"8","22.0","87.2","125.4","177","910","20","114"
"9","25.1","99.5","125.4","177","910","20","116"
"10","28.2","111.7","125.6","177","907","19","118"
"11","31.3","123.9","126.8","172","890","19","120"
"12","34.4","136.4","126.2","174","899","19","122"
"13","37.5","148.7","125.2","178","913","19","124"
"14","40.5","160.9","125.5","177","909","19","124"
"15","43.7","173.2","126.2","174","899","19","124"
"16","46.7","185.4","126.2","174","899","19","124"
"17","49.8","197.6","126.1","175","900","19","124"
"18","52.9","209.9","126.3","174","897","19","125"
"19","56.0","222.1","125.7","176","906","19","126"
"20","59.0","234.2","126.5","173","895","19","126"
"21","62.6","248.9","126.2","174","899","19","127"
"22","65.7","261.1","126.1","175","900","19","126"
"23","68.8","273.4","126.2","174","899","20","127"
"24","71.4","283.4","126.2","174","899","20","128"
"25","74.5","295.7","125.7","176","906","20","129"
"26","77.6","307.9","126.6","172","893","19","130"
"27","80.6","320.0","127.4","169","882","20","132"
"28","83.7","332.1","126.9","171","889","20","133"
"29","86.8","344.2","127.9","167","875","19","132"
"30","89.9","356.5","127.8","168","877","20","131"
"31","93.0","368.8","126.7","172","892","19","130"
"32","96.1","381.0","125.4","177","910","20","130"
"33","99.1","393.1","126.6","172","893","19","130"
"34","102.2","405.3","127.9","167","875","19","130"
"35","105.3","417.5","127.0","171","888","20","129"
"36","108.4","429.6","127.3","170","883","19","129"
"37","111.5","441.7","128.0","167","874","19","129"
"38","114.6","453.9","127.9","167","875","20","130"
"39","117.7","466.0","127.0","171","888","19","131"
"40","120.8","478.4","127.7","168","878","19","132"
"41","123.9","490.7","125.7","176","906","20","132"
"42","126.9","502.9","126.7","172","892","19","130"
"43","130.0","515.1","126.8","172","890","19","129"
"44","133.1","527.2","126.9","171","889","20","128"
"45","136.2","539.2","128.0","167","874","19","129"
"46","139.3","551.2","128.8","164","863","19","130"
"47","142.4","563.4","128.0","167","874","19","131"
"48","146.0","578.0","126.7","172","892","19","133"
"49","149.1","590.1","126.8","172","890","19","134"
"50","152.2","602.4","126.7","172","892","19","133"
"51","155.3","614.8","125.7","176","906","20","132"
"52","158.3","626.9","127.5","169","881","19","132"
"53","161.4","639.0","127.5","169","881","19","133"
"54","164.5","651.2","127.5","169","881","19","134"
"55","167.6","663.5","126.6","172","893","19","134"
"56","170.7","675.8","126.8","172","890","20","133"
"57","173.8","688.0","126.9","171","889","20","133"
"58","176.4","698.0","126.9","171","889","20","135"
"59","179.5","710.3","126.0","175","902","20","136"
"60","182.6","722.6","126.4","173","896","20","135"
"61","185.6","734.9","126.7","172","892","20","135"
"62","188.7","747.3","125.7","176","906","20","135"
"63","191.8","759.5","125.8","176","905","20","136"
"64","194.9","771.8","126.8","172","890","20","135"
"65","198.0","784.1","126.2","174","899","20","135"
"66","200.5","793.9","126.2","174","899","20","135"
"67","203.6","806.2","126.9","171","889","20","136"
"68","206.7","818.5","125.7","176","906","20","138"
"69","209.8","830.7","126.4","173","896","20","138"
"70","212.9","843.0","126.8","172","890","20","138"
"71","215.9","855.3","126.4","173","896","20","139"
"72","219.0","867.5","126.7","172","892","20","139"
"73","222.1","879.8","126.5","173","895","20","139"
"74","224.7","889.8","126.5","173","895","20","139"
"75","227.8","902.0","125.8","176","905","20","139"
"76","230.9","914.3","126.2","174","899","20","139"
"77","233.9","926.7","126.2","174","899","20","138"
"78","237.0","939.1","126.2","174","899","20","139"
"79","240.1","951.4","125.4","177","910","20","138"
"80","243.2","963.7","126.6","172","893","19","137"
"81","246.3","976.0","126.2","174","899","20","137"
"82","249.4","988.3","126.3","174","897","20","138"
"83","252.5","1000.7","125.8","176","905","20","138"
"84","255.6","1012.9","126.6","172","893","19","138"
"85","258.1","1022.7","126.6","172","893","19","139"
"86","261.2","1035.0","127.0","171","888","20","138"
"87","264.3","1047.3","126.4","173","896","20","138"
"88","267.4","1059.4","126.3","174","897","20","137"
"89","270.5","1071.6","127.3","170","883","20","138"
"90","273.5","1083.8","127.7","168","878","20","136"
"91","276.6","1096.0","126.6","172","893","20","137"
"92","279.7","1108.1","126.4","173","896","19","137"
"93","283.3","1122.5","127.6","168","879","19","137"
"94","286.4","1134.6","127.3","170","883","19","137"
"95","289.5","1146.8","127.2","170","885","19","138"
"96","292.6","1159.1","126.3","174","897","19","138"
"97","295.7","1171.4","126.6","172","893","20","138"
"98","298.2","1181.4","126.6","172","893","20","138"
"99","301.3","1193.6","126.3","174","897","20","139"
"100","304.4","1205.9","126.8","172","890","20","140"
"101","307.5","1218.4","126.8","172","890","20","140"
"102","310.6","1230.6","127.0","171","888","20","141"
"103","313.7","1242.8","127.0","171","888","20","141"
"104","316.8","1255.0","127.3","170","883","20","141"
"105","319.9","1267.2","126.3","174","897","20","141"
"106","322.9","1279.4","127.2","170","885","20","141"
"107","325.5","1289.4","127.2","170","885","20","142"
"108","328.6","1301.5","126.5","173","895","20","142"
"109","331.7","1313.9","126.5","173","895","20","142"
"110","334.8","1326.3","126.2","174","899","20","143"
"111","337.8","1338.5","125.9","175","903","20","142"
"112","340.9","1350.8","126.3","174","897","20","141"
"113","344.0","1363.2","125.7","176","906","20","141"
"114","347.1","1375.4","126.2","174","899","19","141"
"115","350.2","1387.7","125.7","176","906","20","142"
"116","352.7","1397.8","125.7","176","906","20","142"
"117","355.9","1410.2","125.3","178","912","21","140"
"118","358.9","1422.3","126.3","174","897","20","139"
"119","362.0","1434.4","127.2","170","885","20","140"
"120","365.1","1446.6","127.2","170","885","20","140"
"121","368.2","1459.0","127.0","171","888","20","141"
"122","371.3","1471.3","126.1","175","900","20","141"
"123","373.8","1481.3","126.1","175","900","20","140"
"124","376.9","1493.5","126.3","174","897","20","140"
"125","380.0","1505.6","126.8","172","890","20","140"
"126","383.1","1518.1","127.9","167","875","20","139"
"127","386.2","1530.3","127.1","170","886","20","139"
"128","388.8","1540.2","127.1","170","886","20","138"
"129","391.8","1552.5","127.5","169","881","20","139"
"130","394.9","1564.9","125.7","176","906","20","140"
"131","398.0","1577.1","126.2","174","899","19","142"
"132","401.1","1589.4","125.9","175","903","20","144"
"133","404.2","1601.6","125.9","175","903","20","145"
"134","407.3","1613.9","126.9","171","889","19","145"
"135","410.4","1626.4","126.3","174","897","20","145"
"136","413.5","1638.9","124.9","180","918","20","145"
"137","416.5","1651.1","126.2","174","899","20","145"
"138","419.6","1663.4","126.8","172","890","20","144"
"139","422.2","1673.4","126.8","172","890","20","144"
"140","425.3","1685.7","126.4","173","896","20","144"
"141","428.4","1698.0","126.1","175","900","20","144"
"142","431.5","1710.4","125.5","177","909","20","144"
"143","434.5","1722.6","126.6","172","893","20","144"
"144","437.1","1732.5","126.6","172","893","20","144"
"145","440.7","1747.0","126.7","172","892","19","144"
"146","443.3","1757.0","126.7","172","892","19","144"
"147","446.4","1769.3","126.6","172","893","20","143"
"148","449.4","1781.5","126.1","175","900","20","143"
"149","452.5","1793.8","126.6","172","893","20","145"
"150","455.6","1806.0","126.6","172","893","20","147"
"151","458.7","1818.1","126.6","172","893","20","148"
"152","461.8","1830.3","127.4","169","882","19","147"
"153","464.9","1842.7","126.5","173","895","20","145"
"154","467.9","1854.9","127.1","170","886","20","144"
"155","471.0","1867.2","126.7","172","892","20","142"
"156","474.1","1879.3","126.5","173","895","20","142"
"157","477.2","1891.6","127.2","170","885","20","142"
"158","480.3","1903.7","127.2","170","885","20","142"
"159","483.3","1915.9","127.1","170","886","19","142"
"160","486.4","1928.1","126.7","172","892","19","142"
"161","489.5","1940.4","126.7","172","892","19","142"
"162","492.6","1952.5","127.5","169","881","19","142"
"163","495.7","1964.7","126.8","172","890","19","143"
"164","498.3","1974.7","126.8","172","890","19","143"
"165","501.4","1986.9","126.5","173","895","20","144"
"166","504.4","1999.2","126.8","172","890","20","143"
"167","507.5","2011.5","126.3","174","897","20","143"
"168","510.6","2023.6","126.7","172","892","20","142"
"169","513.7","2036.0","126.1","175","900","21","142"
"170","516.3","2046.0","126.1","175","900","21","142"
"171","519.4","2058.2","126.6","172","893","20","141"
"172","522.4","2070.4","127.2","170","885","20","142"
"173","525.5","2082.6","127.1","170","886","20","143"
"174","528.6","2094.8","127.6","168","879","20","144"
"175","531.7","2107.1","127.6","168","879","20","143"
"176","534.8","2119.4","127.2","170","885","20","143"
"177","537.9","2131.6","126.9","171","889","20","142"
"178","541.0","2143.7","127.2","170","885","20","142"
"179","543.5","2153.7","127.2","170","885","20","142"
"180","546.6","2165.9","127.2","170","885","20","143"
"181","549.7","2178.1","126.5","173","895","20","145"
"182","552.8","2190.3","126.9","171","889","19","145"
"183","555.9","2202.5","127.5","169","881","20","144"
"184","559.0","2214.7","126.8","172","890","20","144"
"185","562.1","2227.0","126.8","172","890","20","144"
"186","565.1","2239.2","126.9","171","889","20","144"
"187","568.2","2251.4","126.9","171","889","20","145"
"188","571.3","2263.5","127.9","167","875","20","144"
"189","574.4","2275.8","127.0","171","888","20","143"
"190","577.5","2287.9","127.1","170","886","19","144"
"191","580.6","2300.1","127.4","169","882","19","144"
"192","583.7","2312.3","127.8","168","877","20","145"
"193","586.2","2322.2","127.8","168","877","20","146"
"194","589.3","2334.4","126.6","172","893","20","146"
"195","592.4","2346.4","127.2","170","885","20","143"
"196","595.5","2358.5","128.6","165","866","19","142"
"197","598.6","2370.6","128.5","165","867","19","142"
"198","601.7","2382.8","127.7","168","878","19","141"
"199","604.8","2395.0","126.9","171","889","20","141"
"200","607.8","2407.1","127.3","170","883","20","141"
"201","610.9","2419.3","127.3","170","883","20","142"
"202","614.0","2431.4","127.2","170","885","20","143"
"203","617.1","2443.6","127.7","168","878","20","142"
"204","620.2","2455.9","127.3","170","883","19","142"
"205","623.3","2468.1","126.9","171","889","20","141"
"206","626.4","2480.5","126.0","175","902","20","142"
"207","629.4","2492.7","127.0","171","888","20","141"
"208","632.5","2504.9","126.6","172","893","20","142"
"209","635.6","2517.2","127.0","171","888","20","142"
"210","638.2","2527.0","127.0","171","888","20","142"
"211","641.3","2539.3","126.8","172","890","20","142"
"212","644.3","2551.5","127.2","170","885","19","142"
"213","647.5","2564.0","127.0","171","888","20","141"
"214","650.5","2576.1","127.2","170","885","20","140"
"215","653.6","2588.3","127.3","170","883","20","139"
"216","656.2","2598.2","127.3","170","883","20","139"
"217","659.3","2610.4","127.3","170","883","20","139"
"218","662.4","2622.6","127.7","168","878","20","141"
"219","665.4","2634.7","127.4","169","882","20","142"
"220","668.5","2647.1","126.7","172","892","20","141"
"221","671.6","2659.2","127.9","167","875","20","142"
"222","674.7","2671.3","127.9","167","875","20","144"
"223","677.8","2683.5","127.3","170","883","19","143"
"224","680.9","2695.6","127.4","169","882","19","143"
"225","684.0","2707.9","126.6","172","893","20","142"
"226","687.1","2720.1","127.1","170","886","19","142"
"227","689.6","2730.0","127.1","170","886","19","143"
"228","692.7","2742.3","126.9","171","889","20","144"
"229","695.8","2754.8","126.1","175","900","20","143"
"230","698.9","2766.9","127.4","169","882","20","142"
"231","702.0","2779.1","127.3","170","883","20","141"
"232","704.6","2789.1","127.3","170","883","20","143"
"233","707.6","2801.3","127.1","170","886","20","143"
"234","710.7","2813.4","126.4","173","896","20","142"
"235","713.8","2825.8","127.1","170","886","20","143"
"236","716.9","2838.0","126.8","172","890","20","143"
"237","720.0","2850.3","127.1","170","886","20","142"
"238","723.1","2862.3","127.7","168","878","20","142"
"239","726.2","2874.7","126.6","172","893","20","142"
"240","728.7","2884.6","126.6","172","893","20","141"
"241","731.8","2896.7","127.2","170","885","20","141"
"242","734.9","2908.9","127.9","167","875","20","141"
"243","738.0","2921.0","128.1","167","873","20","141"
"244","741.1","2933.2","127.8","168","877","20","141"
"245","744.2","2945.3","128.6","165","866","20","141"
"246","747.3","2957.4","128.5","165","867","20","142"
"247","750.4","2969.5","128.1","167","873","20","144"
"248","752.9","2979.4","128.1","167","873","20","143"
"249","756.0","2991.9","127.1","170","886","20","140"
"250","759.1","3004.1","126.8","172","890","20","139"
"251","762.2","3016.3","127.6","168","879","19","138"
"252","765.3","3028.5","127.8","168","877","20","138"
"253","768.4","3040.6","127.5","169","881","20","139"
"254","770.9","3050.5","127.5","169","881","20","140"
"255","774.0","3062.5","127.5","169","881","20","141"
"256","777.1","3074.8","127.9","167","875","20","142"
"257","780.2","3087.0","127.4","169","882","20","142"
"258","783.3","3099.2","127.2","170","885","20","144"
"259","786.4","3111.6","126.9","171","889","20","144"
"260","789.5","3123.9","126.3","174","897","20","142"
"261","792.6","3136.2","126.7","172","892","20","142"
"262","795.2","3146.1","126.7","172","892","20","144"
"263","798.2","3158.3","126.7","172","892","20","146"
"264","801.3","3170.5","127.1","170","886","20","146"
"265","804.4","3182.7","127.2","170","885","20","146"
"266","807.5","3194.8","127.6","168","879","20","147"
"267","810.6","3207.0","127.6","168","879","20","146"
"268","813.7","3219.3","127.1","170","886","20","146"
"269","816.8","3231.6","126.6","172","893","20","146"
"270","819.3","3241.5","126.6","172","893","20","146"
"271","822.9","3256.0","127.7","168","878","19","145"
"272","825.5","3265.8","127.7","168","878","19","144"
"273","828.6","3278.1","127.3","170","883","20","144"
"274","831.7","3290.2","126.6","172","893","20","143"
"275","834.7","3302.2","128.1","167","873","19","142"
"276","837.8","3314.4","128.1","167","873","19","142"
"277","840.9","3326.7","126.9","171","889","20","142"
"278","844.0","3338.9","126.8","172","890","19","142"
"279","847.1","3351.1","126.9","171","889","19","142"
"280","850.2","3363.4","126.9","171","889","19","143"
"281","853.3","3375.4","126.7","172","892","19","143"
"282","856.4","3387.5","128.1","167","873","19","143"
"283","859.4","3399.7","127.4","169","882","20","145"
"284","862.5","3411.9","127.0","171","888","19","145"
"285","865.6","3424.2","126.6","172","893","19","144"
"286","868.7","3436.3","126.0","175","902","20","144"
"287","872.3","3450.7","127.8","168","877","19","145"
"288","875.4","3463.1","126.4","173","896","20","144"
"289","878.0","3472.9","126.4","173","896","20","143"
"290","881.1","3485.0","127.1","170","886","20","143"
"291","884.2","3497.3","128.1","167","873","20","143"
"292","887.3","3509.7","126.6","172","893","20","142"
"293","890.3","3521.7","126.3","174","897","20","141"
"294","893.4","3534.0","127.7","168","878","19","143"
"295","896.5","3546.2","126.9","171","889","20","144"
"296","899.6","3558.4","126.4","173","896","20","144"
"297","902.7","3570.6","126.7","172","892","19","145"
"298","905.7","3582.7","126.8","172","890","19","145"
"299","909.4","3597.3","127.0","171","888","19","145"
"300","912.5","3609.5","126.9","171","889","19","145"
"301","915.5","3621.6","127.6","168","879","19","144"
"302","918.6","3633.7","128.1","167","873","19","144"
"303","921.7","3645.7","128.1","167","873","19","146"
"304","924.8","3657.8","128.4","165","869","19","147"
"305","927.9","3670.0","128.2","166","871","19","145"
"306","931.0","3682.3","127.6","168","879","19","145"
"307","934.1","3694.6","126.3","174","897","19","146"
"308","937.2","3706.9","126.2","174","899","19","148"
"309","940.3","3719.0","127.1","170","886","20","147"
"310","943.3","3731.2","126.6","172","893","20","145"
"311","946.4","3743.5","126.6","172","893","20","145"
"312","949.0","3753.3","126.6","172","893","20","145"
"313","952.1","3765.6","127.9","167","875","20","145"
"314","955.2","3777.9","126.3","174","897","20","146"
"315","958.3","3790.3","126.6","172","893","20","146"
"316","961.4","3802.6","126.8","172","890","20","144"
"317","964.5","3814.8","127.4","169","882","20","144"
"318","967.5","3826.9","127.0","171","888","20","144"
"319","970.6","3839.2","127.3","170","883","20","144"
"320","973.2","3849.1","127.3","170","883","20","144"
"321","976.3","3861.3","127.1","170","886","20","144"
"322","979.4","3873.4","126.7","172","892","20","144"
"323","982.4","3885.6","127.5","169","881","19","144"
"324","985.5","3897.8","127.6","168","879","20","142"
"325","988.6","3909.9","127.2","170","885","20","141"
"326","991.7","3922.1","127.8","168","877","20","142"
"327","994.8","3934.2","127.5","169","881","19","142"
"328","997.9","3946.4","128.2","166","871","19","142"
"329","1001.0","3958.6","127.5","169","881","20","142"
"330","1004.1","3970.8","127.0","171","888","20","142"
"331","1007.2","3983.0","127.4","169","882","19","142"
"332","1010.3","3995.0","127.1","170","886","19","142"
"333","1013.3","4007.0","128.5","165","867","19","142"
"334","1016.4","4019.1","127.9","167","875","19","141"
"335","1019.5","4031.3","127.5","169","881","19","142"
"336","1022.6","4043.4","127.6","168","879","20","141"
"337","1025.7","4055.5","128.0","167","874","19","142"
"338","1028.8","4067.7","127.7","168","878","20","142"
"339","1031.9","4080.0","127.8","168","877","20","142"
"340","1034.9","4092.1","127.3","170","883","20","142"
"341","1038.0","4104.3","127.0","171","888","20","142"
"342","1041.1","4116.4","127.0","171","888","20","143"
"343","1044.2","4128.7","126.7","172","892","20","143"
"344","1047.3","4140.8","126.7","172","892","20","145"
"345","1050.3","4153.0","127.2","170","885","19","145"
"346","1053.4","4165.2","126.4","173","896","20","144"
"347","1056.5","4177.4","126.4","173","896","20","145"
"348","1059.6","4189.6","126.7","172","892","19","144"
"349","1062.7","4201.8","126.9","171","889","20","143"
"350","1065.8","4214.0","127.2","170","885","20","144"
"351","1068.8","4226.2","127.2","170","885","20","143"
"352","1071.4","4236.1","127.2","170","885","20","141"
"353","1074.5","4248.2","126.7","172","892","20","140"
"354","1077.6","4260.3","127.7","168","878","20","140"
"355","1080.6","4272.4","127.9","167","875","19","141"
"356","1083.7","4284.4","127.3","170","883","20","141"
"357","1086.8","4296.5","128.3","166","870","20","142"
"358","1089.9","4308.7","127.8","168","877","19","142"
"359","1093.0","4321.0","127.5","169","881","20","142"
"360","1096.1","4333.1","126.8","172","890","19","142"
"361","1099.1","4345.3","126.8","172","890","19","142"
"362","1102.2","4357.6","127.1","170","886","19","143"
"363","1105.3","4369.9","125.9","175","903","20","143"
"364","1108.4","4382.3","125.9","175","903","19","144"
"365","1111.5","4394.5","126.2","174","899","20","145"
"366","1114.6","4406.6","126.7","172","892","19","144"
"367","1117.7","4418.8","127.6","168","879","19","144"
"368","1120.8","4431.1","126.8","172","890","19","145"
"369","1123.9","4443.4","126.4","173","896","20","145"
"370","1127.0","4456.0","125.8","176","905","20","146"
"371","1130.1","4468.2","125.2","178","913","20","145"
"372","1133.2","4480.5","126.6","172","893","19","144"
"373","1136.3","4492.8","126.5","173","895","19","145"
"374","1139.4","4505.0","126.9","171","889","19","145"
"375","1142.4","4517.2","126.6","172","893","19","146"
"376","1145.5","4529.5","126.2","174","899","20","146"
"377","1148.6","4541.7","126.7","172","892","20","147"
"378","1151.7","4553.8","126.7","172","892","20","148"
"379","1154.8","4566.0","127.2","170","885","19","148"
"380","1157.8","4578.3","126.1","175","900","20","147"
"381","1160.9","4590.4","126.1","175","900","20","146"
"382","1164.0","4602.6","127.2","170","885","20","146"
"383","1167.1","4614.9","126.3","174","897","20","147"
"384","1170.2","4627.0","127.0","171","888","19","147"
"385","1173.3","4639.1","127.0","171","888","19","147"
"386","1176.3","4651.2","127.9","167","875","19","147"
"387","1179.4","4663.3","127.7","168","878","19","148"
"388","1182.5","4675.5","127.4","169","882","19","147"
"389","1185.6","4687.7","126.8","172","890","19","147"
"390","1188.7","4699.8","127.0","171","888","19","146"
"391","1191.8","4712.0","127.1","170","886","19","145"
"392","1194.8","4724.2","127.8","168","877","19","145"
"393","1197.9","4736.3","126.6","172","893","19","145"
"394","1201.0","4748.3","127.5","169","881","19","145"
"395","1204.1","4760.4","128.3","166","870","19","144"
"396","1207.2","4772.6","128.0","167","874","19","144"
"397","1210.3","4784.9","126.8","172","890","19","144"
"398","1213.4","4797.0","126.9","171","889","19","144"
"399","1216.5","4809.2","127.2","170","885","19","143"
"400","1220.1","4823.6","127.6","168","879","19","144"
"401","1222.6","4833.5","127.6","168","879","19","145"
"402","1225.7","4845.6","126.7","172","892","20","145"
"403","1228.8","4857.8","127.4","169","882","20","144"
"404","1231.9","4869.9","127.7","168","878","19","144"
"405","1235.0","4882.1","128.0","167","874","20","144"
"406","1238.1","4894.1","127.7","168","878","19","145"
"407","1241.1","4906.3","128.0","167","874","19","145"
"408","1244.2","4918.6","127.2","170","885","20","144"
"409","1247.3","4930.9","127.0","171","888","20","145"
"410","1250.4","4943.1","127.1","170","886","20","145"
"411","1253.0","4953.0","127.1","170","886","20","145"
"412","1256.1","4965.1","127.6","168","879","20","145"
"413","1259.2","4977.4","127.6","168","879","20","145"
"414","1262.3","4989.7","127.1","170","886","20","145"
"415","1265.4","5002.0","126.6","172","893","20","146"
"416","1268.4","5014.3","126.8","172","890","20","145"
"417","1271.0","5024.2","126.8","172","890","20","144"
"418","1274.1","5036.5","126.8","172","890","20","144"
"419","1277.2","5048.6","126.9","171","889","20","144"
"420","1280.3","5060.8","127.1","170","886","20","144"
"421","1283.4","5073.0","127.2","170","885","20","144"
"422","1286.5","5085.4","127.5","169","881","20","145"
"423","1289.6","5097.6","127.2","170","885","20","145"
"424","1292.6","5109.8","127.1","170","886","19","146"
"425","1295.7","5121.9","127.1","170","886","19","145"
"426","1298.8","5134.2","126.7","172","892","20","145"
"427","1301.9","5146.4","126.7","172","892","20","146"
"428","1305.0","5158.7","126.5","173","895","20","146"
"429","1307.5","5168.6","126.5","173","895","20","147"
"430","1310.6","5180.8","126.9","171","889","20","147"
"431","1313.7","5192.9","126.7","172","892","20","147"
"432","1316.8","5205.2","127.3","170","883","20","147"
"433","1319.9","5217.6","127.6","168","879","20","146"
"434","1323.0","5229.9","126.9","171","889","20","146"
"435","1326.1","5242.1","127.3","170","883","20","146"
"436","1328.7","5251.9","127.3","170","883","20","146"
"437","1331.7","5264.1","127.8","168","877","20","145"
"438","1334.8","5276.4","126.6","172","893","20","145"
"439","1337.9","5288.6","126.4","173","896","20","146"
"440","1341.0","5300.9","126.7","172","892","20","148"
"441","1344.1","5313.0","126.2","174","899","19","149"
"442","1347.2","5325.2","127.3","170","883","19","149"
"443","1350.2","5337.4","127.4","169","882","19","147"
"444","1353.3","5349.6","126.9","171","889","19","146"
"445","1356.4","5361.8","127.0","171","888","19","145"
"446","1359.5","5374.0","126.8","172","890","20","146"
"447","1362.6","5386.3","126.3","174","897","19","146"
"448","1365.7","5398.3","126.8","172","890","19","146"
"449","1368.8","5410.5","127.8","168","877","19","146"
"450","1371.8","5422.6","127.5","169","881","19","146"
"451","1374.9","5434.8","127.6","168","879","19","146"
"452","1378.0","5447.0","127.2","170","885","19","145"
